Year,Uzbekistan,Karakalpakistan,Andijan,Bukhara,Jizzakh,Kashkadarya,Navoi,Namangan,Samarkand,Surkhandarya,Syrdarya,Tashkent,Fergana,Khorezm,TashkentCity
2010,71791,4648,3865,3648,2108,2719,2332,3475,5329,1938,915,2769,5341,2445,30259
2011,76379,4974,4511,4417,2549,3639,3088,3914,5971,1995,1228,3604,5588,2181,28720
2012,86255,4979,4661,4385,2416,3935,3530,3969,6853,2058,1393,3349,6500,2681,35546
2013,60925,3704,2926,3026,1988,2445,2072,2469,4878,1504,864,2656,4210,1878,26305
2014,60524,3834,3427,3138,2157,2543,2148,2977,5299,1639,928,2809,2059,1925,25641
2015,67643,3752,3425,3484,2183,2834,2088,2891,5708,1687,1006,3111,4633,2038,28803
2016,66290,3957,3664,3357,2469,2990,2166,2753,5917,1671,1023,1837,4782,2037,27667
2017,64133,3939,4039,3376,2261,3111,2097,2734,5986,1705,983,1797,4657,1984,25464
2018,67448,4358,4209,3409,2732,3559,2197,2948,6417,1891,986,1745,4769,2163,26065
2019,66594,4424,4636,3430,2855,3774,2268,2964,6533,1936,1014,2590,4499,2202,23469
